Vip,FC,log2FC,ConcordGroup,logp,p,type,A,comp,log2Dry,log2Wet
0.264301063,0.980380422,-0.02858642,3,0.121235381,0.919400031,insig,no,COG1272,12.59397699,12.62256341
0.186617164,0.98027139,-0.028746877,3,0.295211531,0.814952834,insig,no,COG2220,11.96220623,11.9909531
0.760049442,0.979395026,-0.030037226,3,0.223196894,0.856665032,insig,no,COG0756,12.01380625,12.04384348
0.30783912,0.979303862,-0.03017152,3,0.122969813,0.918295377,insig,no,COG4232,11.81874023,11.84891175
0.506225873,0.979279402,-0.030207556,3,0.185732803,0.87920238,insig,no,COG0604,10.08699837,10.11720593
0.273636442,0.978826917,-0.03087432,3,0.225322908,0.855403546,insig,no,COG2945,12.16173866,12.19261298
0.272617042,0.978819437,-0.030885345,3,0.121141618,0.919459785,insig,no,COG1319,13.06909982,13.09998517
0.57141576,0.978591184,-0.03122181,3,0.154999886,0.898132444,insig,no,COG2148,11.30672706,11.33794887
0.318313258,0.978061382,-0.032003085,3,0.275316044,0.826269291,insig,no,COG0633,11.68427712,11.71628021
0.640945775,0.978032558,-0.032045603,3,0.138687454,0.90834518,insig,no,COG1917,11.57853293,11.61057853
0.349079123,0.977976919,-0.032127678,3,0.50515095,0.704586653,insig,no,COG0195,11.27366923,11.30579691
0.188553385,0.97763314,-0.032634904,3,0.286310227,0.819996566,insig,no,COG1434,12.06541229,12.0980472
0.677164431,0.977584969,-0.032705992,3,0.200680359,0.870140118,insig,no,COG0213,13.09243282,13.12513881
0.596441071,0.977358345,-0.033040477,3,0.148662398,0.902086449,insig,no,COG3264,12.97406948,13.00710996
0.457778429,0.977308277,-0.033114384,3,0.099539186,0.933331061,insig,no,COG3827,13.03009584,13.06321022
0.557031678,0.977043804,-0.03350485,3,0.190818337,0.876108627,insig,no,COG0474,11.58216967,11.61567452
0.361088164,0.976060138,-0.034958055,3,0.386152025,0.765167751,insig,no,COG0757,12.12942318,12.16438124
0.592398274,0.976049975,-0.034973078,3,0.266535836,0.83131328,insig,no,COG0592,11.14969023,11.18466331
0.46346275,0.97567554,-0.035526634,3,0.511493693,0.701495769,insig,no,COG1052,10.86155768,10.89708431
0.516269858,0.975604931,-0.035631045,3,0.323353993,0.799209705,insig,no,COG1430,12.47285356,12.5084846
0.623584006,0.975116448,-0.03635358,3,0.345129687,0.787237207,insig,no,COG1040,11.80917539,11.84552897
0.778020987,0.97500859,-0.036513166,3,0.13007058,0.913786745,insig,no,COG1033,12.21638766,12.25290083
0.47878936,0.974841904,-0.036759827,3,0.166037326,0.891287436,insig,no,COG1874,12.83347752,12.87023734
0.268412329,0.974155685,-0.03777574,3,0.444131773,0.735026529,insig,no,COG0556,10.88474468,10.92252042
0.434545976,0.973206159,-0.039182644,3,0.489508519,0.712267704,insig,no,COG0481,10.94715866,10.9863413
0.420374546,0.973113323,-0.039320273,3,0.155143266,0.898043189,insig,no,COG0243,11.55039683,11.5897171
0.21070643,0.972921988,-0.039603966,3,0.265254898,0.832051713,insig,no,COG0411,11.27284509,11.31244906
0.714070428,0.97287422,-0.0396748,3,0.126299626,0.916178348,insig,no,COG1296,12.37682318,12.41649798
0.364131229,0.972643079,-0.040017603,3,0.347097172,0.786164339,insig,no,COG0140,12.16735911,12.20737672
0.411615915,0.972594897,-0.040089073,3,0.377642267,0.769694441,insig,no,COG3808,11.33518498,11.37527405
